"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"C11_10","SMD_0603_CAPC1608X80N","-6.6999mm","35.8001mm","-6.6999mm","35.8001mm","-5.8999mm","35.8001mm","T","180.00","470nF"
"C11_9","SMD_0603_CAPC1608X80N","-46.8mm","77.3995mm","-46.8mm","77.3995mm","-46mm","77.3995mm","T","180.00","470nF"
"C11_8","SMD_0603_CAPC1608X80N","-83.3mm","34.2mm","-83.3mm","34.2mm","-84.1mm","34.2mm","T","360.00","470nF"
"C11_7","SMD_0603_CAPC1608X80N","-83.3001mm","11.7999mm","-83.3001mm","11.7999mm","-84.1001mm","11.7999mm","T","360.00","470nF"
"C11_6","SMD_0603_CAPC1608X80N","-6.7mm","15.7mm","-6.7mm","15.7mm","-5.9mm","15.7mm","T","180.00","470nF"
"C11_5","SMD_0603_CAPC1608X80N","-46.7999mm","54.2001mm","-46.7999mm","54.2001mm","-45.9999mm","54.2001mm","T","180.00","470nF"
"C11_4","SMD_0603_CAPC1608X80N","-26.7999mm","82.9001mm","-26.7999mm","82.9001mm","-25.9999mm","82.9001mm","T","180.00","470nF"
"C11_3","SMD_0603_CAPC1608X80N","-46.7998mm","84.5001mm","-46.7998mm","84.5001mm","-45.9998mm","84.5001mm","T","180.00","470nF"
"C11_2","SMD_0603_CAPC1608X80N","-46.7999mm","23.8001mm","-46.7999mm","23.8001mm","-45.9999mm","23.8001mm","T","180.00","470nF"
"C11_1","SMD_0603_CAPC1608X80N","-46.7999mm","27.8001mm","-46.7999mm","27.8001mm","-45.9999mm","27.8001mm","T","180.00","470nF"
"C10_16","SMD_0603_CAPC1608X80N","-43.2001mm","79.0004mm","-43.2001mm","79.0004mm","-44.0001mm","79.0004mm","T","360.00","470nF"
"C10_15","SMD_0603_CAPC1608X80N","-6.6999mm","79.8001mm","-6.6999mm","79.8001mm","-5.8999mm","79.8001mm","T","180.00","470nF"
"C10_14","SMD_0603_CAPC1608X80N","-26.8mm","31mm","-26.8mm","31mm","-26mm","31mm","T","180.00","470nF"
"C10_13","SMD_0603_CAPC1608X80N","-63.1999mm","35.8001mm","-63.1999mm","35.8001mm","-63.9999mm","35.8001mm","T","360.00","470nF"
"C10_12","SMD_0603_CAPC1608X80N","-46.7999mm","51.0001mm","-46.7999mm","51.0001mm","-45.9999mm","51.0001mm","T","180.00","470nF"
"C10_11","SMD_0603_CAPC1608X80N","-6.7mm","55.8mm","-6.7mm","55.8mm","-5.9mm","55.8mm","T","180.00","470nF"
"C10_10","SMD_0603_CAPC1608X80N","-6.7mm","26.2mm","-6.7mm","26.2mm","-5.9mm","26.2mm","T","180.00","470nF"
"C10_9","SMD_0603_CAPC1608X80N","-46.8mm","78.9995mm","-46.8mm","78.9995mm","-46mm","78.9995mm","T","180.00","470nF"
"C10_8","SMD_0603_CAPC1608X80N","-83.3001mm","38.1999mm","-83.3001mm","38.1999mm","-84.1001mm","38.1999mm","T","360.00","470nF"
"C10_7","SMD_0603_CAPC1608X80N","-83.3001mm","10.1999mm","-83.3001mm","10.1999mm","-84.1001mm","10.1999mm","T","360.00","470nF"
"C10_6","SMD_0603_CAPC1608X80N","-83.3001mm","58.1999mm","-83.3001mm","58.1999mm","-84.1001mm","58.1999mm","T","360.00","470nF"
"C10_5","SMD_0603_CAPC1608X80N","-46.7999mm","55.8001mm","-46.7999mm","55.8001mm","-45.9999mm","55.8001mm","T","180.00","470nF"
"C10_4","SMD_0603_CAPC1608X80N","-72.6999mm","89.3001mm","-72.6999mm","89.3001mm","-73.4999mm","89.3001mm","T","360.00","470nF"
"C10_3","SMD_0603_CAPC1608X80N","-46.7998mm","86.1001mm","-46.7998mm","86.1001mm","-45.9998mm","86.1001mm","T","180.00","470nF"
"C10_2","SMD_0603_CAPC1608X80N","-43.2001mm","6.1999mm","-43.2001mm","6.1999mm","-44.0001mm","6.1999mm","T","360.00","470nF"
"C10_1","SMD_0603_CAPC1608X80N","-43.2mm","26.2mm","-43.2mm","26.2mm","-44mm","26.2mm","T","360.00","470nF"
"C9_16","SMD_0603_CAPC1608X80N","-43.2001mm","77.4004mm","-43.2001mm","77.4004mm","-44.0001mm","77.4004mm","T","360.00","470nF"
"C9_15","SMD_0603_CAPC1608X80N","-66.8001mm","12.6mm","-66.8001mm","12.6mm","-66.0001mm","12.6mm","T","180.00","470nF"
"C9_14","SMD_0603_CAPC1608X80N","-6.6999mm","74.2001mm","-6.6999mm","74.2001mm","-5.8999mm","74.2001mm","T","180.00","470nF"
"C9_13","SMD_0603_CAPC1608X80N","-26.7999mm","34.2001mm","-26.7999mm","34.2001mm","-25.9999mm","34.2001mm","T","180.00","470nF"
"C9_12","SMD_0603_CAPC1608X80N","-46.7999mm","57.4001mm","-46.7999mm","57.4001mm","-45.9999mm","57.4001mm","T","180.00","470nF"
"C9_11","SMD_0603_CAPC1608X80N","-6.7mm","50.2mm","-6.7mm","50.2mm","-5.9mm","50.2mm","T","180.00","470nF"
"C9_10","SMD_0603_CAPC1608X80N","-6.7mm","27.8mm","-6.7mm","27.8mm","-5.9mm","27.8mm","T","180.00","470nF"
"C9_9","SMD_0603_CAPC1608X80N","-6.6999mm","39.8001mm","-6.6999mm","39.8001mm","-5.8999mm","39.8001mm","T","180.00","470nF"
"C9_8","SMD_0603_CAPC1608X80N","-83.2999mm","43.7001mm","-83.2999mm","43.7001mm","-84.0999mm","43.7001mm","T","360.00","470nF"
"C9_7","SMD_0603_CAPC1608X80N","-83.3001mm","31.7999mm","-83.3001mm","31.7999mm","-84.1001mm","31.7999mm","T","360.00","470nF"
"C9_6","SMD_0603_CAPC1608X80N","-83.3001mm","59.7999mm","-83.3001mm","59.7999mm","-84.1001mm","59.7999mm","T","360.00","470nF"
"C9_5","SMD_0603_CAPC1608X80N","-66.7997mm","39.0002mm","-66.7997mm","39.0002mm","-65.9997mm","39.0002mm","T","180.00","470nF"
"C9_4","SMD_0603_CAPC1608X80N","-72.6999mm","87.7001mm","-72.6999mm","87.7001mm","-73.4999mm","87.7001mm","T","360.00","470nF"
"C9_3","SMD_0603_CAPC1608X80N","-26.8001mm","2.9999mm","-26.8001mm","2.9999mm","-26.0001mm","2.9999mm","T","180.00","470nF"
"C9_2","SMD_0603_CAPC1608X80N","-23.2001mm","7.7999mm","-23.2001mm","7.7999mm","-24.0001mm","7.7999mm","T","360.00","470nF"
"C9_1","SMD_0603_CAPC1608X80N","-43.2001mm","23.7999mm","-43.2001mm","23.7999mm","-44.0001mm","23.7999mm","T","360.00","470nF"
"C8_16","SMD_0603_CAPC1608X80N","-46.8mm","72.5995mm","-46.8mm","72.5995mm","-46mm","72.5995mm","T","180.00","470nF"
"C8_15","SMD_0603_CAPC1608X80N","-43.2001mm","74.2004mm","-43.2001mm","74.2004mm","-44.0001mm","74.2004mm","T","360.00","470nF"
"C8_14","SMD_0603_CAPC1608X80N","-6.6999mm","75.8001mm","-6.6999mm","75.8001mm","-5.8999mm","75.8001mm","T","180.00","470nF"
"C8_13","SMD_0603_CAPC1608X80N","-63.1999mm","32.6001mm","-63.1999mm","32.6001mm","-63.9999mm","32.6001mm","T","360.00","470nF"
"C8_12","SMD_0603_CAPC1608X80N","-46.7999mm","59.0001mm","-46.7999mm","59.0001mm","-45.9999mm","59.0001mm","T","180.00","470nF"
"C8_11","SMD_0603_CAPC1608X80N","-6.6999mm","46.2001mm","-6.6999mm","46.2001mm","-5.8999mm","46.2001mm","T","180.00","470nF"
"C8_10","SMD_0603_CAPC1608X80N","-6.7mm","22.2mm","-6.7mm","22.2mm","-5.9mm","22.2mm","T","180.00","470nF"
